Order Date,Ship Date,Ship Mode,Segment,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Delivery Days,Unit Cost,Order Month,Order Month Name,Order Year
11/8/2016,11/11/2016,Second Class,Consumer,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0,41.9136,3,110.0232,11,November,2016
11/8/2016,11/11/2016,Second Class,Consumer,Kentucky,42420,South,Furniture,Chairs,731.94,3,0,219.582,3,170.786,11,November,2016
6/12/2016,6/16/2016,Second Class,Corporate,California,90036,West,Office Supplies,Labels,14.62,2,0,6.8714,4,3.8743,6,June,2016
10/11/2015,10/18/2015,Standard Class,Consumer,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,7,268.1217,10,October,2015
10/11/2015,10/18/2015,Standard Class,Consumer,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,7,9.9258,10,October,2015
6/9/2014,6/14/2014,Standard Class,Consumer,California,90032,West,Furniture,Furnishings,48.86,7,0,14.1694,5,4.9558,6,June,2014
6/9/2014,6/14/2014,Standard Class,Consumer,California,90032,West,Office Supplies,Art,7.28,4,0,1.9656,5,1.3286,6,June,2014
6/9/2014,6/14/2014,Standard Class,Consumer,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,5,136.0728,6,June,2014
6/9/2014,6/14/2014,Standard Class,Consumer,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,5,4.2405,6,June,2014
6/9/2014,6/14/2014,Standard Class,Consumer,California,90032,West,Office Supplies,Appliances,114.9,5,0,34.47,5,16.086,6,June,2014
6/9/2014,6/14/2014,Standard Class,Consumer,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,5,180.0972,6,June,2014
6/9/2014,6/14/2014,Standard Class,Consumer,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,5,210.7668,6,June,2014
4/15/2017,4/20/2017,Standard Class,Consumer,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,5,3.3696,4,April,2017
12/5/2016,12/10/2016,Standard Class,Consumer,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,5,91.7946,12,December,2016
11/22/2015,11/26/2015,Standard Class,Home Office,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,4,38.5336,11,November,2015
11/22/2015,11/26/2015,Standard Class,Home Office,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,4,2.12,11,November,2015
11/11/2014,11/18/2014,Standard Class,Consumer,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0,13.3176,7,108.7604,11,November,2014
5/13/2014,5/15/2014,Second Class,Consumer,Utah,84084,West,Office Supplies,Storage,55.5,2,0,9.99,2,22.755,5,May,2014
